Looking for chill norms/arams/blitz,"Grinding out of silver, sup main. Let's get you fed",0.4839047359043264
Looking for chill norms/arams/blitz,supp main searching for an adc,0.43185886429175857
Looking for chill norms/arams/blitz,"Hey everyone, a gamer girl main Lulu looking for a cool and good duo to play with",0.5465505358779709
Looking for chill norms/arams/blitz,Graves Jgl looking for a strong laner,0.45859035251513536
Looking for chill norms/arams/blitz,Looking for a chill duo.,0.6400337161412225
Looking for chill norms/arams/blitz,"duo adc would be preferred, but it doesn't matter too much. I also play a mean mid lane, so even accepting supports.",0.5358272569707903
Looking for chill norms/arams/blitz,"Top/Jungle main, looking for someone who is serious about climbing, and someone who can and will play alot not quitting after 1 loss. i am looking to get better, learn, and build synergy with someone",0.5778832713754564
Looking for chill norms/arams/blitz,plat 3 adc main looking for support main to duo with,0.44959050965723363
Looking for chill norms/arams/blitz,trying to do the impossible and climb to plat in a few short weeks lol. I have the time so why not.,0.548767837145685
Looking for chill norms/arams/blitz,Support main LF adc to duo with in ranked,0.43670115972224754
Looking for chill norms/arams/blitz,LF duo partner to hit gold with before the end of the season. Mostly play tanky supports such as leona and braum,0.5049833885203733
Looking for chill norms/arams/blitz,Im a Support main Silver2 atm looking for a duo to get plat by end of season,0.5283257377471632
Looking for chill norms/arams/blitz,support main just looking to have fun and chill unranked,0.5710740580700949
Looking for chill norms/arams/blitz,Looking for a sup main who is a chill bro and has a decent sense of humor and doesn't mind playing on stream with me,0.5457211857136931
Looking for chill norms/arams/blitz,’m looking for some chill people to play Unranked with,0.6161881195144314
Looking for chill norms/arams/blitz,silver 2 supp main LF adc to duo to gold with,0.4172749738028945
Looking for chill norms/arams/blitz,Looking for Fun People,0.5601615067997411
Looking for chill norms/arams/blitz,"Support player looking fora non-raging, chill and competent person to climb to gold with before season ends",0.561196842440448
Looking for chill norms/arams/blitz,"Hey all, I’m looking for someone to carry games with, willing to learn together and chill (as in not flamy, we gonna tryhard nonetheless).",0.6012077214764898
Looking for chill norms/arams/blitz,"I’m not competitive, nor do I ever want to be competitive. I want to have fun in the game.",0.5566673073745669
Looking for chill norms/arams/blitz,I'm looking for competitive and friendly people that will want to improve and still have a fun time while we duo,0.5559250429584246
Looking for chill norms/arams/blitz,Silver support main would prefer top/jungle/mid duo. No rude people please.,0.635061243033626
Looking for chill norms/arams/blitz,". im adc top main so any other roles would be good, please be serious about winning im trying to climb",0.5572746063815168
Looking for chill norms/arams/blitz,I am a Bard player who is looking for a duo to diamond,0.48691012247001697
Looking for chill norms/arams/blitz,"I dont care what rank you are, as long as you play support",0.5188218728377934
Looking for chill norms/arams/blitz,"Looking for a support to duo with,will mainly be playing ranked. dont take things super serious,but would still like to win and if not learn from the game",0.5406820886402518
Looking for chill norms/arams/blitz,Just trying to have don’t care if good or bad just some fun people to play with,0.5636703681947056
Looking for chill norms/arams/blitz,"Looking for someone chill to play ranked with. Don't want any toxic people, just someone who can play their role, have fun, and wants to improve as well as rank up",0.558810780455479
Dia looking for high dia master,Looking for chill norms/arams/blitz,0.40249033024101555
Dia looking for high dia master,Dia looking for high dia master,1.0
Dia looking for high dia master,Aussie on NA looking for friends,0.6492988121149573
Dia looking for high dia master,Looking to learn and have fun,0.5799029832250137
Dia looking for high dia master,Looking for chill nrorms,0.5793917557027464
