Looking for chill norms/arams/blitz
Dia looking for high dia master
Aussie on NA looking for friends
Looking to learn and have fun
Looking for chill nrorms
Under lvl 15 looking for people to partner with
Silver 4 looking for duo
Support/Mid D5 loooking for adc
Looking for friends
LF friends to learn/play from
Support main lf duo unranked
Furry improving on league
Crappy support/mid looking for people to play with
looking for braum support for kled
Silver 1 75% ER lloking to duo to gold or higher
LF cool friends
Gold 1 ADC looking for low plat/high hold support duo
"Support main, lf someone around plat v to duo with"
Gold 3 looking for duo to climb
Looking for someone nice/competent
"Playing all night, looking for nami/lul"
dia smurfs only
looking for adc main
"plat+, is support name"
is jungle main
looking for non toxic player to win lane
Looking for a fun duo partner
Jayce mid one trick
looking to climb and have fun
"vayne otp looking for a thresh otp for a diamond rush before season ends,"
Someone who wants to play a solid amount of games and climb. Aggressive Support Leona Main Smurfs Welcome
HELP ME CARRY PLEASE I need gold before season ends
"Looking for serious, commited, duo partner with good cs to climb with till end of season"
looking far an adc that know what he's doing !!!
Looking for main ADC Gold V+ to try and climb to Platinum. I mainly play Leona but I can play Thresh and Blitzcrank too
Was high plat last season. Im trying to get back on my old level of play after a very long break.
Looking for yasuo adc. Knockup support main.
Looking to get to platinum before the end of the season with someone
Looking for a duo GOLD 3 and higher to climb. Add me have a mic please. Play to win
I need help getting to Silver. I play like silver just stuck in bronze. Need someone to climb with
LOOKING FOR SUPPORT TO DUO WITH ALL NIGHT FAST FAST FAST
Looking for a support main to climb with.
"Tryhard platinum before end season Someone who understands late game,teamfighting,splitpushing, doesnt tilt from feeding"
"somebody who wants to duo bot and climb, i have a brain hope you do too"
"going to be a positive player who knows what their doing, 0 toxicity or contributing to someone else tilting."
"hey, if you looking to get gold this season hmu and we'll get there fast :)"
Ranking up silver smurf to plat before season ends. Just add AdrianeRzS. Only Silver 1+
Looking for a duo to get diamond before season ends ! add me on league and lets win some games
Heyo I'm looking for someone to duo with that wants to have fun and win all we play / wants to rank up obviously ^^!
Looking for a support to help me carry. 2v5 expected.
